icon_name	target_size	category	source	source_dimensions	decoder
default	24	apps	kpanel/pics/mini-default.xpm	14x14	xpm-fallback
default	32	apps	kpanel/pics/mini-default.xpm	14x14	xpm-fallback
default	48	apps	kdm/pics/default.xpm	64x64	xpm-fallback
default2	16	apps	kdm/pics/default2.xpm	71x66	xpm-fallback
default2	22	apps	kdm/pics/default2.xpm	71x66	xpm-fallback
default2	24	apps	kdm/pics/default2.xpm	71x66	xpm-fallback
default2	32	apps	kdm/pics/default2.xpm	71x66	xpm-fallback
default2	48	apps	kdm/pics/default2.xpm	71x66	xpm-fallback
delete	16	actions	kfind/pics/delete.xpm	22x22	xpm-fallback
delete	22	actions	kfind/pics/delete.xpm	22x22	xpm-fallback
delete	24	actions	kfind/pics/delete.xpm	22x22	xpm-fallback
delete	32	actions	kfind/pics/delete.xpm	22x22	xpm-fallback
delete	48	actions	kfind/pics/delete.xpm	22x22	xpm-fallback
display	16	apps	kmenuedit/icons/mini-display.xpm	16x14	xpm-fallback
display	22	apps	kmenuedit/icons/mini-display.xpm	16x14	xpm-fallback
display	24	apps	kmenuedit/icons/mini-display.xpm	16x14	xpm-fallback
display	32	apps	kmenuedit/icons/mini-display.xpm	16x14	xpm-fallback
display	48	apps	kmenuedit/icons/mini-display.xpm	16x14	xpm-fallback
doc	16	apps	kmenuedit/icons/mini-doc.xpm	16x14	xpm-fallback
doc	22	apps	kmenuedit/icons/mini-doc.xpm	16x14	xpm-fallback
doc	24	apps	kmenuedit/icons/mini-doc.xpm	16x14	xpm-fallback
doc	32	apps	kmenuedit/icons/mini-doc.xpm	16x14	xpm-fallback
doc	48	apps	kmenuedit/icons/mini-doc.xpm	16x14	xpm-fallback
document	16	mimetypes	pics/mini/document.xpm	16x16	pillow
document	22	mimetypes	pics/mini/document.xpm	16x16	pillow
document	24	mimetypes	pics/document.xpm	32x32	pillow
document	32	mimetypes	pics/document.xpm	32x32	pillow
document	48	mimetypes	pics/document.xpm	32x32	pillow
down	16	actions	pics/toolbar/down.xpm	22x22	pillow
down	22	actions	pics/toolbar/down.xpm	22x22	pillow
down	24	actions	pics/toolbar/down.xpm	22x22	pillow
down	32	actions	pics/toolbar/down.xpm	22x22	pillow
down	48	actions	pics/toolbar/down.xpm	22x22	pillow
dvi	16	apps	pics/mini/dvi.xpm	15x16	pillow
dvi	22	apps	pics/mini/dvi.xpm	15x16	pillow
dvi	24	apps	pics/dvi.xpm	32x32	pillow
dvi	32	apps	pics/dvi.xpm	32x32	pillow
dvi	48	apps	pics/dvi.xpm	32x32	pillow
edit	16	actions	kmenuedit/icons/mini-edit.xpm	16x14	pillow
edit	22	actions	kmenuedit/icons/mini-edit.xpm	16x14	pillow
edit	24	actions	kmenuedit/icons/mini-edit.xpm	16x14	pillow
edit	32	actions	kappfinder/pics/edit.xpm	40x46	xpm-fallback
edit	48	actions	kappfinder/pics/edit.xpm	40x46	xpm-fallback
editcopy	16	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	22	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	24	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	32	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	48	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcut	16	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	22	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	24	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	32	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	48	actions	pics/toolbar/editcut.xpm	22x22	pillow
editpaste	16	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	22	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	24	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	32	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	48	actions	pics/toolbar/editpaste.xpm	22x22	pillow
emacs	16	apps	kappfinder/pics/emacs.xpm	32x32	xpm-fallback
emacs	22	apps	kappfinder/pics/emacs.xpm	32x32	xpm-fallback
emacs	24	apps	kappfinder/pics/emacs.xpm	32x32	xpm-fallback
emacs	32	apps	kappfinder/pics/emacs.xpm	32x32	xpm-fallback
emacs	48	apps	kappfinder/pics/emacs.xpm	32x32	xpm-fallback
error	16	apps	kfm/pics/error.xpm	48x48	xpm-fallback
error	22	apps	kfm/pics/error.xpm	48x48	xpm-fallback
error	24	apps	kfm/pics/error.xpm	48x48	xpm-fallback
error	32	apps	kfm/pics/error.xpm	48x48	xpm-fallback
error	48	apps	kfm/pics/error.xpm	48x48	xpm-fallback
exclam	16	apps	kmenuedit/icons/mini-exclam.xpm	16x14	xpm-fallback
exclam	22	apps	kmenuedit/icons/mini-exclam.xpm	16x14	xpm-fallback
exclam	24	apps	kmenuedit/icons/mini-exclam.xpm	16x14	xpm-fallback
exclam	32	apps	kmenuedit/icons/mini-exclam.xpm	16x14	xpm-fallback
exclam	48	apps	kmenuedit/icons/mini-exclam.xpm	16x14	xpm-fallback
exclamation	16	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	22	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	24	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	32	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	48	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exec	16	actions	pics/mini/exec.xpm	16x16	pillow
exec	22	actions	pics/mini/exec.xpm	16x16	pillow
exec	24	actions	pics/exec.xpm	32x32	pillow
exec	32	actions	pics/exec.xpm	32x32	pillow
exec	48	actions	pics/exec.xpm	32x32	pillow
exit	16	actions	kpanel/pics/exit.xpm	22x22	pillow
exit	22	actions	kpanel/pics/exit.xpm	22x22	pillow
exit	24	actions	kpanel/pics/exit.xpm	22x22	pillow
exit	32	actions	kpanel/pics/exit.xpm	22x22	pillow
exit	48	actions	kpanel/pics/exit.xpm	22x22	pillow
exp	16	apps	kmenuedit/icons/mini-exp.xpm	16x14	xpm-fallback
exp	22	apps	kmenuedit/icons/mini-exp.xpm	16x14	xpm-fallback
exp	24	apps	kmenuedit/icons/mini-exp.xpm	16x14	xpm-fallback
exp	32	apps	kmenuedit/icons/mini-exp.xpm	16x14	xpm-fallback
