date	commit	sha256	path
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	c52335c0ede587c5c01f778b2b3941cc6bce07fc28826b01b89aafc404f62b33	kcontrol/locale/pics/flag_de.gif
1999-03-03	5ba9ca62a29026f5c4613671d84be1d874063248	22f8770a016eb0186b02adb806278347866f663a61d66d073a6fe82bbac86317	kcontrol/locale/pics/flag_de_CH.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	64ba0a0c0f522d0b7fa227aa4556961746fe9e5159bdc0897b2c8cf950c68bd3	kcontrol/locale/pics/flag_el.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	3203ae9c9bc498ba6160aec1495a7f001333811328af3658cce815a281a64dfb	kcontrol/locale/pics/flag_en.gif
1998-05-01	18ff56a01a2bfc38a4839f67cc96d1e2eea82139	3203ae9c9bc498ba6160aec1495a7f001333811328af3658cce815a281a64dfb	kcontrol/locale/pics/flag_en_UK.gif
1998-07-18	6e58fe1e037d184e19b2ec16747414ded7f87b77	666801f5b18120ee1367b9b193429f42a7cf7001837b7732c01a718b1bf44581	kcontrol/locale/pics/flag_eo.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	fefe33857fd679ab543ec8ea3cdcb81da8561e73fdc8db30baa61ae26834cc7b	kcontrol/locale/pics/flag_es.gif
1999-01-05	60ff87dacaff42c4bfa865a5d5b630c849567926	b088ffb9ec8b3a5797fa9f5d9810d01c21a674b9edb1ee49d36858f408af21e4	kcontrol/locale/pics/flag_et.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	6510ac2fb4b9a7e460a0bf1bb6e013be7b04bfb2af224d5832f6683c1df01ff2	kcontrol/locale/pics/flag_fi.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	ba601cf3cf12df13495d49ad84113bb2d47147ad8b933337fb61b5020437518f	kcontrol/locale/pics/flag_fr.gif
1999-02-01	b31d43e245a650cdbf0fe23c757e986e68045833	d765598172db10cd0ba4f08abcccf0a25eec19f99cf08149bdc11793493a0b27	kcontrol/locale/pics/flag_fr_CA.gif
1999-03-03	5ba9ca62a29026f5c4613671d84be1d874063248	22f8770a016eb0186b02adb806278347866f663a61d66d073a6fe82bbac86317	kcontrol/locale/pics/flag_fr_CH.gif
1998-12-07	a65b78fd640131e31a07b762ae67ff629f8ce3fa	64e76139a367fe629ef6a7c1041eab3334367411475ad951c71fad674eca59f9	kcontrol/locale/pics/flag_he.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	7d479985cc14387406e7eecb1790faf3617bdb17696cfe281c79e80415722fbc	kcontrol/locale/pics/flag_hr.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	ce7cd61d8c1bba1507907b6ccf317c2c98a7ca2829645c6db603559f03efbfca	kcontrol/locale/pics/flag_hu.gif
1998-10-04	0036f26cd5eedee252b184ebe4143d0be14c9cf6	2009da9154840a16ecb8bcc70a65b5fbe27afc32f02541b6a791f6566cc67290	kcontrol/locale/pics/flag_is.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	b9dd23685aca79e8cbbd65d34b17b06bb19efaedbf425d252d8884ac82342f3f	kcontrol/locale/pics/flag_it.gif
1999-09-04	3fd90c82d8c5880203472c1dc70504b1f564ae51	87c71e8d59869be8fc9983828180188100233fb4bf784b97d9972568c7ff6102	kcontrol/locale/pics/flag_ja.gif
1999-09-04	3fd90c82d8c5880203472c1dc70504b1f564ae51	1c329b0cfb3876fae11da251e22c2e0015953e39ed53ff5063ebde1e2a1eb8cd	kcontrol/locale/pics/flag_ko.gif
1998-10-19	5e4f67b4d8ca3cf5ba5d35086e70ba050168d1c7	7cfa7e7b5a3f2f870d419e0d7a6d707275584239378dbfd89f796efd7311ee83	kcontrol/locale/pics/flag_mk.gif
