icon_name	target_size	category	source	source_dimensions	decoder
down-gray	48	actions	pics/toolbar/down_gray.xpm	22x22	pillow
edit	16	actions	pics/edit.xpm	40x46	xpm-fallback
edit	22	actions	pics/edit.xpm	40x46	xpm-fallback
edit	24	actions	pics/edit.xpm	40x46	xpm-fallback
edit	32	actions	pics/edit.xpm	40x46	xpm-fallback
edit	48	actions	pics/edit.xpm	40x46	xpm-fallback
editcopy	16	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	22	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	24	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	32	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy	48	actions	pics/toolbar/editcopy.xpm	22x22	pillow
editcopy-gray	16	actions	pics/toolbar/editcopy_gray.xpm	22x22	pillow
editcopy-gray	22	actions	pics/toolbar/editcopy_gray.xpm	22x22	pillow
editcopy-gray	24	actions	pics/toolbar/editcopy_gray.xpm	22x22	pillow
editcopy-gray	32	actions	pics/toolbar/editcopy_gray.xpm	22x22	pillow
editcopy-gray	48	actions	pics/toolbar/editcopy_gray.xpm	22x22	pillow
editcut	16	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	22	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	24	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	32	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut	48	actions	pics/toolbar/editcut.xpm	22x22	pillow
editcut-gray	16	actions	pics/toolbar/editcut_gray.xpm	22x22	pillow
editcut-gray	22	actions	pics/toolbar/editcut_gray.xpm	22x22	pillow
editcut-gray	24	actions	pics/toolbar/editcut_gray.xpm	22x22	pillow
editcut-gray	32	actions	pics/toolbar/editcut_gray.xpm	22x22	pillow
editcut-gray	48	actions	pics/toolbar/editcut_gray.xpm	22x22	pillow
editpaste	16	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	22	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	24	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	32	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste	48	actions	pics/toolbar/editpaste.xpm	22x22	pillow
editpaste-gray	16	actions	pics/toolbar/editpaste_gray.xpm	22x22	pillow
editpaste-gray	22	actions	pics/toolbar/editpaste_gray.xpm	22x22	pillow
editpaste-gray	24	actions	pics/toolbar/editpaste_gray.xpm	22x22	pillow
editpaste-gray	32	actions	pics/toolbar/editpaste_gray.xpm	22x22	pillow
editpaste-gray	48	actions	pics/toolbar/editpaste_gray.xpm	22x22	pillow
exclamation	16	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	22	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	24	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	32	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exclamation	48	actions	pics/toolbar/exclamation.xpm	22x22	pillow
exec	16	actions	pics/exec.xpm	32x32	pillow
exec	22	actions	pics/exec.xpm	32x32	pillow
exec	24	actions	pics/exec.xpm	32x32	pillow
exec	32	actions	pics/exec.xpm	32x32	pillow
exec	48	actions	pics/exec.xpm	32x32	pillow
exit	16	actions	pics/toolbar/exit.xpm	22x22	pillow
exit	22	actions	pics/toolbar/exit.xpm	22x22	pillow
exit	24	actions	pics/toolbar/exit.xpm	22x22	pillow
exit	32	actions	pics/toolbar/exit.xpm	22x22	pillow
exit	48	actions	pics/toolbar/exit.xpm	22x22	pillow
exit-gray	16	actions	pics/toolbar/exit_gray.xpm	22x22	pillow
exit-gray	22	actions	pics/toolbar/exit_gray.xpm	22x22	pillow
exit-gray	24	actions	pics/toolbar/exit_gray.xpm	22x22	pillow
exit-gray	32	actions	pics/toolbar/exit_gray.xpm	22x22	pillow
exit-gray	48	actions	pics/toolbar/exit_gray.xpm	22x22	pillow
filefloppy	16	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	22	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	24	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	32	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	48	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filemail	16	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	22	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	24	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	32	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	48	actions	pics/toolbar/filemail.xpm	22x22	pillow
filenew	16	actions	pics/toolbar/filenew.xpm	22x22	pillow
filenew	22	actions	pics/toolbar/filenew.xpm	22x22	pillow
